6626704,4117669,5.7
6520985,3421510,6.8
0597720,3421510,5.1
7833172,6262158,9.5
8461192,3421510,7.8
7059866,3825359,4.8
6117216,6262158,9.7
3354073,4117669,9.3
0521421,3825359,6.9
3600005,3421510,4.4
3847324,3421510,7.6
1114279,6262158,6.0
7378724,4117669,8.0
9739036,4117669,5.9
5972023,6075491,6.3
2920773,7670148,7.8
6252763,3825359,7.4
7889100,6075491,5.1
2559294,6075491,7.6
0210611,7670148,7.9
8146170,3421510,7.1
7202792,7670148,7.2
3218579,7670148,5.3
8368478,3421510,6.8
3220140,6262158,4.4
7203598,4117669,4.1
8013709,6262158,4.6
6418881,6075491,10.0
8063910,3825359,8.5
1549500,7670148,6.7
8223357,3825359,9.7
8246336,3421510,8.7
4282688,6262158,7.2
2810322,7670148,6.1
2932561,6262158,8.9
7101810,6075491,9.3
8723350,6075491,9.4
6875162,3421510,8.5
2009571,7670148,5.8
9633951,4117669,5.7
4841909,3825359,4.3
5556906,4117669,5.5
3489362,4117669,8.6
7162630,3421510,4.9
9764201,3825359,7.2
6623736,6075491,8.7
4915275,6075491,9.3
1836965,7670148,8.7
0884100,3825359,6.7
6703490,4117669,5.0
7732058,3421510,9.6
8341823,6262158,6.2
3557652,3421510,6.5
9552181,6262158,9.2
7346399,7670148,9.3
8812073,6262158,5.9
0137241,3825359,6.7
6987010,6075491,8.5
1944480,6262158,8.0
2742484,3421510,8.8
9958010,7670148,6.7
8013818,4117669,9.6
2262640,7670148,4.5
8231105,6262158,5.4
1775611,7670148,4.6
2011177,3421510,6.1
7419020,4117669,4.9
1696559,3421510,5.2
9442878,6262158,4.1
1117634,6262158,6.3
6712122,6262158,9.9
0048891,3421510,9.3
3631796,3825359,7.0
4975269,6262158,7.4
1602996,4117669,7.8
0592477,3825359,7.4
5958278,7670148,9.0
5636509,3421510,8.2
2526827,4117669,5.4
7590259,3825359,4.1
2062608,3825359,4.3
5334104,6075491,6.8
9170888,4117669,9.4
8153493,7670148,7.9
9500016,3825359,9.1
0315197,3825359,6.6
6710922,3421510,6.5
0068034,3421510,7.5
1087714,3421510,8.9
5549627,4117669,5.3
9315321,4117669,7.5
7588239,4117669,5.6
0782886,7670148,7.6
3209330,6075491,5.8
0425692,7670148,9.6
7704024,7670148,6.7
0045856,6262158,9.1
9594224,4117669,9.7
5752975,3421510,8.1
2928545,7670148,5.1
